ID	%View	Duration (ms)
13	25	860
6	10	1240
11	25	200
20	50	1050
16	100	220
19	25	650
14	25	230
8	10	390
13	100	100
5	25	880
7	100	510
8	25	870
1	100	450
19	25	1070
2	100	830
13	10	1410
17	50	110
4	50	870
20	25	1320
8	50	130
12	50	250
7	100	1210
14	100	850
5	50	990
4	10	190
5	100	290
9	100	1080
18	10	940
8	25	340
8	100	710
6	100	710
6	100	200
17	10	240
6	50	260
16	25	730
11	25	250
20	25	650
9	10	930
11	50	1370
2	50	880
5	100	220
7	100	380
19	100	1440
4	10	480
7	100	570
5	100	1330
15	10	1220
1	10	990
15	100	150
13	100	1370
3	50	440
20	50	780
9	25	1420
16	100	1180
5	100	740
13	50	1120
16	10	800
5	25	450
19	10	1390
8	100	1240
3	50	570
5	10	1010
4	50	240
9	50	250
11	50	250
2	10	910
5	50	990
3	25	50
9	100	1100
2	10	680
4	10	1320
8	100	130
20	10	270
10	50	20
8	100	170
16	50	1440
16	50	90
10	10	1180
16	25	430
9	25	220
5	10	900
15	10	1340
4	10	790
3	100	530
19	100	220
18	50	40
9	10	620
9	50	1150
1	100	1350
5	10	730
13	100	510
19	10	1290
4	100	790
11	100	700
19	10	1250
15	25	350
20	100	1360
19	25	540
18	100	650
18	50	320
13	10	570
18	10	1430
12	100	850
15	50	1060
10	50	1450
6	100	680
4	10	910
14	25	1320
16	25	1110
1	50	440
19	50	1270
19	25	450
16	50	500
15	25	410
18	10	820
16	25	720
14	10	210
13	50	1010
20	10	730
5	10	680
5	50	630
8	100	700
9	100	420
12	100	1130
2	100	160
16	100	840
15	10	830
4	50	1000
2	25	1350
4	10	770
5	10	250
17	100	1240
13	25	640
14	50	360
15	50	650
16	10	90
4	25	300
17	10	990
4	10	410
6	10	330
9	50	330
20	10	1290
15	10	270
18	10	20
9	50	190
3	10	1190
4	100	1030
8	10	560
14	100	1190
1	25	890
14	100	960
20	100	1380
14	50	740
1	25	1320
12	25	190
18	100	1480
9	50	960
6	50	1250
11	50	60
4	10	1160
6	10	610
5	50	290
5	10	420
17	10	720
16	100	460
4	50	1220
7	100	280
15	25	1370
4	10	210
16	50	370
9	25	1390
20	50	10
17	10	620
2	25	1020
17	50	800
1	100	1000
10	50	440
19	25	1320
20	100	240
14	10	200
5	10	550
14	25	850
10	50	770
3	50	1000
5	25	530
12	50	600
18	50	1260
8	25	620
1	50	1010
18	50	830
1	25	1410
12	50	1040
13	25	760
14	100	760
6	25	1060
12	25	150
20	25	640
3	100	520
15	50	330
8	100	1370
